id,premise,conclusion,label,prover9
31,"∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x))
Legislator(tiffanyTAlston)
StealsFunds(tiffanyTAlston) ∧ StealsFundsInYr(tiffanyTAlston, yr2012)",Prison(tiffanyTAlston),Uncertain,False
32,"∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))","∀x (Sting(stonefish, x) ∧ ¬UseAntivenomOn(x) → CauseDeathTo(stonefish, x))",Uncertain,False
33,"∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))","∃x ∃y (Fish(x) ∧ Sting(x, y) ∧ ¬Treated(y) → CauseDeathTo(x, y))",True,True
34,"∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))","∀x (SteppedOnBy(stonefish, x) ∧ ApplyHeatTo(x)  → CauseDeathTo(stonefish, x))",Uncertain,False
37,"∃x (Monitor(x) ∧ ProducedBy(x, lG) ∧ Have(x, typeCPort) ∧ (¬(x=y)) ∧ Monitor(y) ∧ ProducedBy(y, lG) ∧ Have(y, typeCPort))
∀x (Have(x, typeCPort) → ¬ProducedBefore(x, yr2010))
∀x ((Monitor(x) ∧ In(x, library)) → ProducedBefore(x, yr2010))
Monitor(l2021) ∧ (In(l2021, library) ⊕ Have(l2021, typeCPort))
¬(ProducedBefore(l2021, yr2010) ⊕ ProducedBy(l2021, lG))","Have(l2021, typeCPort) ⊕ ProducedBy(l2021, lG)",True,True
40,"∀x (Outside(x, solarSystem) ⊕ In(x, solarSystem))
∀x (Outside(x, solarSystem) → ¬SunAs(x, star))
∀x (In(x, solarSystem) → BoundBy(x, sun, gravitationally))
∀x (Planet(x) ∧ BoundBy(x, sun, gravitationally) → ¬(Planet(x) ∧ Rogue(x)))
∀x (Planet(x) ∧ Orphan(x) → Planet(x) ∧ Rogue(x))
¬(Planet(pSOJ318522) ∧ Rogue(pSOJ318522) ∧ BoundBy(pSOJ318522, sun, gravitationally)) → (Planet(pSOJ318522) ∧ Rogue(pSOJ318522))",Planet(pSOJ3185_22) ∧ Orphan(pSOJ3185_22),Uncertain,False
42,"∀x (Outside(x, solarSystem) ⊕ In(x, solarSystem))
∀x (Outside(x, solarSystem) → ¬SunAs(x, star))
∀x (In(x, solarSystem) → BoundBy(x, sun, gravitationally))
∀x (Planet(x) ∧ BoundBy(x, sun, gravitationally) → ¬(Planet(x) ∧ Rogue(x)))
∀x (Planet(x) ∧ Orphan(x) → Planet(x) ∧ Rogue(x))
¬(Planet(pSOJ318522) ∧ Rogue(pSOJ318522) ∧ BoundBy(pSOJ318522, sun, gravitationally)) → (Planet(pSOJ318522) ∧ Rogue(pSOJ318522))","(Planet(pSOJ3185_22) ∧ Orphan(pSOJ3185_22)) ∨ ¬SunAs(pSOJ3185_22, star) → (¬(Planet(pSOJ3185_22) ∧ Orphan(pSOJ3185_22)) ∧ ¬SunAs(pSOJ3185_22, star))",False,False
44,"∃x (Project(x) ∧ Do(sam, x))
∀x (Project(x) → (WrittenIn(x, cplusplus) ⊕ WrittenIn(x, python)))
∀x (Project(x) ∧ WrittenIn(x, python) ∧ Do(sam, x) → ¬Use(sam, mac))
Use(sam, mac)
∃x (Use(sam, mac) ∧ Song(x) → Play(sam, x))
∀x (Song(x) ∧ Play(sam, x) → Titled(x, perfect))","∀x (Song(x) ∧ Play(sam, x) ∧ Titled(x, perfect))",Uncertain,False
45,"∃x (Project(x) ∧ Do(sam, x))
∀x (Project(x) → (WrittenIn(x, cplusplus) ⊕ WrittenIn(x, python)))
∀x (Project(x) ∧ WrittenIn(x, python) ∧ Do(sam, x) → ¬Use(sam, mac))
Use(sam, mac)
∃x (Use(sam, mac) ∧ Song(x) → Play(sam, x))
∀x (Song(x) ∧ Play(sam, x) → Titled(x, perfect))","∀x (Titled(x, perfect) → Play(sam, x))",Uncertain,False
46,"∀x (Rabbit(x) → Have(x, fur))
∃x (Pet(x) ∧ Rabbit(x))","∃x ∃y (Pet(x) ∧ Pet(y) ∧ ¬Have(x, fur) ∧ ¬Have(y, fur))",Uncertain,False
47,"∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, chatFeature) → Software(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ AllowToSendTo(x, user, message) → Contain(x, chatFeature))
∀x (SocialMedia(x) ∧ Application(x) → Contain(x, chatFeature) ∨ Contain(x, videoFeature))
∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, videoFeature) → Allow(x, user, uploadVideo))
∀x (SocialMedia(x) ∧ Application(x) ∧ Software(x) → ComputerProgram(x))
∀x (SocialMedia(x) ∧ Application(x) ∧Have(x, highEngagementMetric) → Addictive(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ Addictive(x) → ¬IdealFor(x, preteen))
SocialMedia(tikTok) ∧ Application(tikTok) ∧ ¬IdealFor(tikTok, preteen)",ComputerProgram(tikTok),True,True
48,"∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, chatFeature) → Software(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ AllowToSendTo(x, user, message) → Contain(x, chatFeature))
∀x (SocialMedia(x) ∧ Application(x) → Contain(x, chatFeature) ∨ Contain(x, videoFeature))
∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, videoFeature) → Allow(x, user, uploadVideo))
∀x (SocialMedia(x) ∧ Application(x) ∧ Software(x) → ComputerProgram(x))
∀x (SocialMedia(x) ∧ Application(x) ∧Have(x, highEngagementMetric) → Addictive(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ Addictive(x) → ¬IdealFor(x, preteen))
SocialMedia(tikTok) ∧ Application(tikTok) ∧ ¬IdealFor(tikTok, preteen)","IdealFor(tikTok, preteen) ⊕ ComputerProgram(tikTok)",True,True
49,"∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, chatFeature) → Software(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ AllowToSendTo(x, user, message) → Contain(x, chatFeature))
∀x (SocialMedia(x) ∧ Application(x) → Contain(x, chatFeature) ∨ Contain(x, videoFeature))
∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, videoFeature) → Allow(x, user, uploadVideo))
∀x (SocialMedia(x) ∧ Application(x) ∧ Software(x) → ComputerProgram(x))
∀x (SocialMedia(x) ∧ Application(x) ∧Have(x, highEngagementMetric) → Addictive(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ Addictive(x) → ¬IdealFor(x, preteen))
SocialMedia(tikTok) ∧ Application(tikTok) ∧ ¬IdealFor(tikTok, preteen)","¬Contain(tikTok, chatFeature) ∨ ¬ComputerProgram(tikTok)",False,False
50,"∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, chatFeature) → Software(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ AllowToSendTo(x, user, message) → Contain(x, chatFeature))
∀x (SocialMedia(x) ∧ Application(x) → Contain(x, chatFeature) ∨ Contain(x, videoFeature))
∀x (SocialMedia(x) ∧ Application(x) ∧ Contain(x, videoFeature) → Allow(x, user, uploadVideo))
∀x (SocialMedia(x) ∧ Application(x) ∧ Software(x) → ComputerProgram(x))
∀x (SocialMedia(x) ∧ Application(x) ∧Have(x, highEngagementMetric) → Addictive(x))
∀x (SocialMedia(x) ∧ Application(x) ∧ Addictive(x) → ¬IdealFor(x, preteen))
SocialMedia(tikTok) ∧ Application(tikTok) ∧ ¬IdealFor(tikTok, preteen)","Contain(tikTok, chatFeature) ⊕ ComputerProgram(tikTok)",False,False
51,"UnincorporatedCommunity(ordinary)
LocatedIn(ordinary, elliotCounty) ∧ On(ordinary, kentuckyRoute32)
LocatedNorthwestOf(ordinary, sandyHook)","∀x (On(x, kentuckyRoute32) → ¬UnincorporatedCommunity(x))",False,False
52,"UnincorporatedCommunity(ordinary)
LocatedIn(ordinary, elliotCounty) ∧ On(ordinary, kentuckyRoute32)
LocatedNorthwestOf(ordinary, sandyHook)","∃x (UnincorporatedCommunity(x) ∧ LocatedIn(x, elliotCounty))",True,True
53,"∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))
∀x (At(x, event) ∧ CollegeStudent(x) → YoungAdult(x))
∀x (At(x, event) ∧ YaleStudent(x) → CollegeStudent(x))
∀x (At(x, event) → (YaleStudent(x) ⊕ HarvardStudent(x)))
∀x (At(x, event) ∧ HarvardStudent(x) → Diligent(x))
At(susan, event) ∧ (HarvardStudent(susan) → YoungAdult(susan))
YaleStudent(susan) → ¬Like(susan, independence)",CollegeStudent(susan),Uncertain,False
54,"∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))
∀x (At(x, event) ∧ CollegeStudent(x) → YoungAdult(x))
∀x (At(x, event) ∧ YaleStudent(x) → CollegeStudent(x))
∀x (At(x, event) → (YaleStudent(x) ⊕ HarvardStudent(x)))
∀x (At(x, event) ∧ HarvardStudent(x) → Diligent(x))
At(susan, event) ∧ (HarvardStudent(susan) → YoungAdult(susan))
YaleStudent(susan) → ¬Like(susan, independence)","Like(susan, independence) ∧ Diligent(susan)",True,True
55,"∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))
∀x (At(x, event) ∧ CollegeStudent(x) → YoungAdult(x))
∀x (At(x, event) ∧ YaleStudent(x) → CollegeStudent(x))
∀x (At(x, event) → (YaleStudent(x) ⊕ HarvardStudent(x)))
∀x (At(x, event) ∧ HarvardStudent(x) → Diligent(x))
At(susan, event) ∧ (HarvardStudent(susan) → YoungAdult(susan))
YaleStudent(susan) → ¬Like(susan, independence)","¬(Like(susan, independence) ∧ Diligent(susan))",False,False
58,"∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))
∀x (OlympicGoldMedalWinner(x) → ProfessionalAthlete(x))
∀x (FullTimeScientist(x) → ¬SpendOn(x, mostOfTheirTime, sports))
∀x (NobelPhysicsLaureate(x) → FullTimeScientist(x))
SpendOn(amy, mostOfTheirTime, sports) ∨ OlympicGoldMedalWinner(amy)
¬NobelPhysicsLaureate(amy) → ¬OlympicGoldMedalWinner(amy)",ProfessionalAthlete(amy),Uncertain,False
59,"∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))
∀x (OlympicGoldMedalWinner(x) → ProfessionalAthlete(x))
∀x (FullTimeScientist(x) → ¬SpendOn(x, mostOfTheirTime, sports))
∀x (NobelPhysicsLaureate(x) → FullTimeScientist(x))
SpendOn(amy, mostOfTheirTime, sports) ∨ OlympicGoldMedalWinner(amy)
¬NobelPhysicsLaureate(amy) → ¬OlympicGoldMedalWinner(amy)",¬(FullTimeScientist(amy) ∨ OlympicGoldMedalWinner(amy)),True,True
60,"∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))
∀x (OlympicGoldMedalWinner(x) → ProfessionalAthlete(x))
∀x (FullTimeScientist(x) → ¬SpendOn(x, mostOfTheirTime, sports))
∀x (NobelPhysicsLaureate(x) → FullTimeScientist(x))
SpendOn(amy, mostOfTheirTime, sports) ∨ OlympicGoldMedalWinner(amy)
¬NobelPhysicsLaureate(amy) → ¬OlympicGoldMedalWinner(amy)",¬OlympicGoldMedalWinner(amy) → NobelPhysicsLaureate(amy),False,False
66,"∀x (WorkAt(x, meta) → HighIncome(x))
∀x (HighIncome(x) → ¬MeansToDestination(x, bus))
∀x (MeansToDestination(x, bus) ⊕ MeansToDestination(x, drive))
∀x (HaveCar(x) → MeansToDestination(x, drive))
∀x (Student(x) → ¬ MeansToDestination(x, drive))
HaveCar(james) ∨ WorkAt(james, meta)",HighIncome(james),Uncertain,False
67,"∀x (WorkAt(x, meta) → HighIncome(x))
∀x (HighIncome(x) → ¬MeansToDestination(x, bus))
∀x (MeansToDestination(x, bus) ⊕ MeansToDestination(x, drive))
∀x (HaveCar(x) → MeansToDestination(x, drive))
∀x (Student(x) → ¬ MeansToDestination(x, drive))
HaveCar(james) ∨ WorkAt(james, meta)",¬HighIncome(james),Uncertain,False
68,"∀x (WorkAt(x, meta) → HighIncome(x))
∀x (HighIncome(x) → ¬MeansToDestination(x, bus))
∀x (MeansToDestination(x, bus) ⊕ MeansToDestination(x, drive))
∀x (HaveCar(x) → MeansToDestination(x, drive))
∀x (Student(x) → ¬ MeansToDestination(x, drive))
HaveCar(james) ∨ WorkAt(james, meta)",Student(james),False,False
71,"∀x (WorkAt(x, meta) → HighIncome(x))
∀x (HighIncome(x) → ¬MeansToDestination(x, bus))
∀x (MeansToDestination(x, bus) ⊕ MeansToDestination(x, drive))
∀x (HaveCar(x) → MeansToDestination(x, drive))
∀x (Student(x) → ¬ MeansToDestination(x, drive))
HaveCar(james) ∨ WorkAt(james, meta)","(MeansToDestination(x, drive) ⊕ Student(james)) → (HighIncome(james) ∧ Student(james))",False,False
72,"∀x (At(x, businessConference) → (Investor(x) ⊕ Entrepreneur(x)))
∀x ((At(x, businessConference) ∧ Enjoy(x, opportunityOfStartingOwnBusiness)) → ¬Prefer(x, plannedEconomy))
∀x ((At(x, businessConference) ∧ Entrepreneur(x)) → Enjoy(x, opportunityOfStartingOwnBusiness))
∀x ((At(x, businessConference) ∧ Enjoy(x, stateOwnershipOfMeansOfProduction)) → Prefer(x, plannedEconomy))
∀x ((At(x, businessConference) ∧ ArdentCommunist(x)) → Prefer(x, stateOwnershipOfMeansOfProduction))
At(ho, businessConference) ∧ Prefer(ho, stateOwnershipOfMeansOfProduction)",¬ArdentCommunist(ho),Uncertain,False
74,"∀x (TelevisionStar(x) → ¬CertifiedPublicAccoutant(x))
∀x (CertifiedPublicAccoutant(x) → Have(x, goodBusinessSense))","∀x (TelevisionStar(x) → Have(x, goodBusinessSense))",Uncertain,False
75,"∃x ∃y (StudentInTheClass(x) ∧ GoodAt(x, math) ∧ GoodAt(x, chemistry) ∧ (¬(x=y)) ∧ StudentInTheClass(y) ∧ GoodAt(y, math) ∧ GoodAt(y, chemistry))
∀x ((StudentInTheClass(x) ∧ GoodAt(x, chemistry)) → Enjoy(x, conductingExperiment))
∀x ((StudentInTheClass(x) ∧ Enjoy(x, conductingExperiment)) → GoodAt(x, planning))
∀x ((StudentInTheClass(x) ∧ GoodAt(x, planning)) → ¬Failed(x, theClass))
StudentInTheClass(james) ∧ (¬(GoodAt(james, chemistry) ⊕ Failed(james, theClass)))","GoodAt(james, planning)",Uncertain,False
76,"∃x ∃y (StudentInTheClass(x) ∧ GoodAt(x, math) ∧ GoodAt(x, chemistry) ∧ (¬(x=y)) ∧ StudentInTheClass(y) ∧ GoodAt(y, math) ∧ GoodAt(y, chemistry))
∀x ((StudentInTheClass(x) ∧ GoodAt(x, chemistry)) → Enjoy(x, conductingExperiment))
∀x ((StudentInTheClass(x) ∧ Enjoy(x, conductingExperiment)) → GoodAt(x, planning))
∀x ((StudentInTheClass(x) ∧ GoodAt(x, planning)) → ¬Failed(x, theClass))
StudentInTheClass(james) ∧ (¬(GoodAt(james, chemistry) ⊕ Failed(james, theClass)))","GoodAt(james, chemistry) ∧ GoodAt(james, math)",False,False
