id,NLpremise,NLconclusion,premise-FOL,conclusion-FOL,LLM-conclusion-FOL,label,prover9_answer
258,"AmericanPolitician(walterBrown) ∧ Lawyer(walterBrown) ∧ ServedAs(walterBrown, postMasterGeneral)
Graduated(walterBrown, harvard) ∧ GraduatedWith(walterBrown, bachelorsOfArt)
∃t(In(walterBrown, toledo, t) ∧ In(walterBrownFather, toledo, t) ∧ PracticedLawTogether(walterBrown, walterBrownFather, t))
Married(katherinHafer, walterBrown)","∃t(In(walterBrownFather, toledo, t))",True
315,"∀x (∃y (LiveIn(x, y) ∧ Place(y) ∧ Named(y, galicia)) → LiveIn(x, spain) ⊕ LiveIn(x, poland))
∀x (LiveIn(x, spain) → LiveIn(x, europe))
∀x (LiveIn(x, poland) → LiveIn(x, europe))
LiveIn(rochelle, europe)
¬LiveIn(dominique, europe)
∃y (LiveIn(alfonso, y) ∧ Place(y) ∧ Named(y, galicia))","∃y (LiveIn(rochelle, y) ∧ Place(y) ∧ Named(y, galicia))",Uncertain
341,"Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakesUp(theHulk)
WakesUp(theHulk) → Breaks(theHulk, bridge)
God(thor)
Happy(thor) → Breaks(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → Wears(peter, uniform)
∀x ((Destroyer(x) ∧ Breaks(x,bridge)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)","¬Happy(thor) → ¬Breaks(thor, bridge)",Uncertain
367,"WonCup(aberdeen, year2013Final)
WonCup(rangers, year2014Final)
¬(aberdeen=rangers)
∀x ∀y ∀z ∀w (¬(x=y) ∧ WonCup(x, z) ∧ WonCup(y, w) → ¬(z=w))","∃x (WonCup(aberdeen, x))",True
436,"Proposed(justinKruger, naiveCynicism) ∧ ∃y (colleagueOfJustinKruger(y) ∧ Proposed(y, naiveCynicism))
Colleagues(thomasGilovich, justinKruger)
PhilosophyOfMind(naiveCynicism)","∃x (Proposed(justinKruger, x) ∧ PhilosophyOfMind(x))",True
460,"∀x (Elephantopus(x) → (Genus(x, perennialplants) ∧ BelongTo(x, daisyfamily)))
∃x ∃y ∃z(Elephantopus(x) ∧ In(x,africa) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ In(y, southernasia) ∧ (¬(x=z)) ∧ (¬(y=z)) ∧ Elephantopus(z) ∧ In(z, australia))
∃x ∃y (Elephantopus(x) ∧ NativeTo(x, southeasternunitedstates) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ NativeTo(y, southeasternunitedstates))
∀x (ElephantopusScaber(x) → TraditionalMedicine(x))","∀x (Elephantopus(x) → ¬NativeTo(x, southeasternunitedstates))",False
462,"∀x (Elephantopus(x) → (Genus(x, perennialplants) ∧ BelongTo(x, daisyfamily)))
∃x ∃y ∃z(Elephantopus(x) ∧ In(x,africa) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ In(y, southernasia) ∧ (¬(x=z)) ∧ (¬(y=z)) ∧ Elephantopus(z) ∧ In(z, australia))
∃x ∃y (Elephantopus(x) ∧ NativeTo(x, southeasternunitedstates) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ NativeTo(y, southeasternunitedstates))
∀x (ElephantopusScaber(x) → TraditionalMedicine(x))",∀x (Elephantopus(x) → TraditionalMedicine(x)),Uncertain
505,"Event(uFCFightNight) ∧ MixedMartial(uFCFightNight) ∧ HeldIn(uFCFightNight, sweden)
ScheduledToFight(sadollah, musoke,uFCFightNight)
Fight(sadollah, akiyama, uFCFightNight)
Fight(musoke, yakovlev, uFCFightNight)
InjuredAt(jung, uFCFightNight)
∀x (InjuredAt(x, uFCFightNight) → ¬FightIn(x, uFCFightNight))","Event(uFCFightNight) ∧ ¬FightIn(jung, uFCFightNight)",True
512,"RailwayStation(boves) ∧ In(boves, france)
Precede(longueau, boves)
Precede(boves, dommartin)
In(france, europe)
SituatedOn(dommartin, pairsLille)
∀x ∀y ∀z ((SituatedOn(x, z) ∧ (Precede(x, y) ∨ Precede(y, x)) → SituatedOn(y, z))
Serve(boves, hautsDeFrance)
∀x ∀y ∀z ((In(x, y) ∧ In(y, z)) → In(x, z))
∀x ∀y ∀z ((Precede(x, y) ∧ Precede(y, z)) → Precede(x, z))","SituatedOn(longueau, pairsLille)",True
530,"ItalianName(roversi) ∧ Surname(roversi)
UseAsSurname(albaRoversi, roversi)
UseAsSurname(paoloRoversi, roversi)
UseAsSurname(robertoRoversi, roversi)
Photographer(paoloRoversi)
∀x (Photographer(x) → Professional(x) ⊕ Amateur(x))","¬(∃x ∃y (Photographer(x) ∧ ItalianName(y) ∧ Surname(y) ∧ UseAsSurname(x, y)))",False
555,"∃x (OccurIn(monkeypoxVirus, x) ∧ Get(x, monkeypoxVirus))
∃x (Animal(x) ∧ OccurIn(monkeypoxVirus, x))
∀x (Human(x) → Mammal(x))
∀x (Mammal(x) → Animal(x))
∃x (SymptonOf(x, monkeypoxVirus) ∧ (Fever(x) ∨ Headache(x) ∨ MusclePain(x) ∨ Tired(x)))
∀x (Human(x) ∧ Get(x, flu) → Feel(x, tired))",∃x (Animal(x)),True
631,"Cove(barutinCove) ∧ NamedAfter(barutinCove, barutinSettlement) ∧ LocatedIn(barutinSettlement, bulgaria)
LocatedIn(barutinCove, snowIsland)
LocatedIn(snowIsland, southShetlandIslands) ∧ LocatedIn(greenwichIsland, southShetlandIslands) ∧ LocatedIn(deceptionIsland, southShetlandIslands)
LocatedIn(southShetlandIslands, antarctica)
∀x ∀y ∀z ((LocatedIn(x, y) ∧ LocatedIn(y, z)) → LocatedIn(x, z))","¬LocatedIn(barutinCove, antarctica)",False
