story_id,premises,premises-FOL,conclusion,conclusion-FOL,label,example_id
133,"The Blake McFall Company Building is a building added to the National Register of Historic Places in 1990.
The Emmet Building is a five-story building in Portland, Oregon.
The Emmet Building was built in 1915.
The Emmet Building is another name for the Blake McFall Company Building.
John works at the Emmet Building.","Building(blakeMcFallCompanyBuilding) ∧ AddedToIn(blakeMcFallCompanyBuilding, theNationalRegisterOfHistoricPlaces, year1990)
Building(emmetBuilding) ∧ FiveStory(emmetBuilding) ∧ LocatedIn(emmetBuilding, portland) ∧ LocatedIn(portland, oregon))
BuiltIn(emmetBuilding, year1915)
emmetBuiling=blakeMcFallCompanyBuilding
WorkAt(john, emmetBuilding)",A five-story building is built in 1915.,"∃x (Building(x) ∧ FiveStory(x) ∧ ConstructedIn(x, year1915))",True,392
133,"The Blake McFall Company Building is a building added to the National Register of Historic Places in 1990.
The Emmet Building is a five-story building in Portland, Oregon.
The Emmet Building was built in 1915.
The Emmet Building is another name for the Blake McFall Company Building.
John works at the Emmet Building.","Building(blakeMcFallCompanyBuilding) ∧ AddedToIn(blakeMcFallCompanyBuilding, theNationalRegisterOfHistoricPlaces, year1990)
Building(emmetBuilding) ∧ FiveStory(emmetBuilding) ∧ LocatedIn(emmetBuilding, portland) ∧ LocatedIn(portland, oregon))
BuiltIn(emmetBuilding, year1915)
emmetBuiling=blakeMcFallCompanyBuilding
WorkAt(john, emmetBuilding)","The Blake McFall Company Building is located in Portland, Oregon.","LocatedIn(blakeMcFallCompanyBuilding, portland)",True,393
133,"The Blake McFall Company Building is a building added to the National Register of Historic Places in 1990.
The Emmet Building is a five-story building in Portland, Oregon.
The Emmet Building was built in 1915.
The Emmet Building is another name for the Blake McFall Company Building.
John works at the Emmet Building.","Building(blakeMcFallCompanyBuilding) ∧ AddedToIn(blakeMcFallCompanyBuilding, theNationalRegisterOfHistoricPlaces, year1990)
Building(emmetBuilding) ∧ FiveStory(emmetBuilding) ∧ LocatedIn(emmetBuilding, portland) ∧ LocatedIn(portland, oregon))
BuiltIn(emmetBuilding, year1915)
emmetBuiling=blakeMcFallCompanyBuilding
WorkAt(john, emmetBuilding)",John started his current job in 1990.,"StartCurrentJobIn(john, year1990)",Uncertain,394
226,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.","British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))",William Dickinson did not get a seat in Parliament.,"SatIn(williamDickinson, parliament)",True,636
226,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.","British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))",William Dickinson went to schools located in the United Kingdom for both high school and university.,"∃x ∃y (Attended(williamDickinson, x) ∧ Highschool(x) ∧ LocatedIn(x, unitedKingdom) ∧ Attended(williamDickinson, y) ∧ University(y) ∧ LocatedIn(y, unitedKingdom))",Uncertain,637
226,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.","British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))",William Dickinson attended university in the United Kingdom.,"∃x (Attended(williamDickinson, x) ∧ University(x) ∧ LocatedIn(x, unitedKingdom))",True,638
226,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.","British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))",William Dickinson sat in the House of Commons.,"SatIn(williamDickinson, houseOfCommons)",True,639
247,"LanguageA is a universal language
If a universal language exists, then for every two people if they both know the same universal language they can communicate.
Katya cannot communicate with Danil.
Katya knows LanguageA. ","UniversalLanguage(languageA)
∀x ∀y (∃z (¬(x=y) ∧ Know(x, z) ∧ Know(y, z) ∧ UniversalLanguage(z)) → CanCommunicateWith(x, y) ∧ CanCommunicateWith(y, x))
¬CanCommunicateWith(katya, danil)
Know(katya, languageA)",Danil knows LanguageA.,"Know(danil, languageA)",False,690
422,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas. ","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)",Lily goes to cinemas every week.,"GoToEveryWeek(lily, cinema)",Uncertain,1192
422,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas. ","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)",Lily does not go to cinemas every week.,"¬GoToEveryWeek(lily, cinema)",Uncertain,1193
422,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas. ","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)",Lily goes to cinemas every week or watches 3 movies every week without any additional fees.,"GoToEveryWeek(lily, cinema) ∨ EligibleForThreeFreeMoviesWithoutAdditionalFees(lily)",True,1194
422,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas. ","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","If Lily does not both go to cinemas every week and subscribe to HBO service, then Lily is either available to watch 3 movies every week without any additional fees or she prefers TV more.","(GoToEveryWeek(lily, cinema) ∧ SubscribedTo(lily, hBO)) → (EligibleForThreeFreeMoviesEveryWeek(lily) ⊕ Prefer(lily, tVSeries))",True,1195
422,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas. ","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","If Lily is available to watch 3 movies every week without any additional fees and she watches TV series in cinemas, then she goes to cinemas every week and prefers TV series more.","(EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(lily) ∧ WatchIn(lily, tV, cinema)) → (GoToEveryWeek(lily, cinema) ∧ Prefer(lily, tVSeries))",False,1196
193,"A La Liga soccer team ranks higher than another La Liga soccer team if it receives more points.
If there are two La Liga soccer teams and neither has more points than the other, then the team which receives more points from the games between the two teams ranks higher.
Real Madrid and Barcelona are both La Liga soccer teams.
Real Madrid received more points than Barcelona.
Neither Real Madrid nor Barcelona received more points from the games between them.","∀x ∀y (LaLigaSoccerTeam(x) ∧ LaLigaSoccerTeam(y) ∧ MorePoints(x, y) → RankHigherThan(x, y))
∀x ∀y (LaLigaSoccerTeam(x) ∧ LaLigaSoccerTeam(y) ∧ ¬MorePoints(x, y) ∧ ¬MorePoints(y, x) ∧ MorePointsInGameBetween(x, y) →  RankHigherThan(x, y))
LaLigaSoccerTeam(realMadrid) ∧ LaLigaSoccerTeam(barcelona)
MorePoints(realMadrid, barcelona)
¬MorePointsInGameBetween(realMadrid, barcelona) ∧ ¬MorePointsInGameBetween(barcelona, realMadrid)",Real Madrid ranks higher than Barcelona.,"RankHigherThan(realMadrid, barcelona)",True,550
193,"A La Liga soccer team ranks higher than another La Liga soccer team if it receives more points.
If there are two La Liga soccer teams and neither has more points than the other, then the team which receives more points from the games between the two teams ranks higher.
Real Madrid and Barcelona are both La Liga soccer teams.
Real Madrid received more points than Barcelona.
Neither Real Madrid nor Barcelona received more points from the games between them.","∀x ∀y (LaLigaSoccerTeam(x) ∧ LaLigaSoccerTeam(y) ∧ MorePoints(x, y) → RankHigherThan(x, y))
∀x ∀y (LaLigaSoccerTeam(x) ∧ LaLigaSoccerTeam(y) ∧ ¬MorePoints(x, y) ∧ ¬MorePoints(y, x) ∧ MorePointsInGameBetween(x, y) →  RankHigherThan(x, y))
LaLigaSoccerTeam(realMadrid) ∧ LaLigaSoccerTeam(barcelona)
MorePoints(realMadrid, barcelona)
¬MorePointsInGameBetween(realMadrid, barcelona) ∧ ¬MorePointsInGameBetween(barcelona, realMadrid)",Barcelona ranks higher than Real Madrid.,"RankHigherThan(barcelona, realMadrid)",False,551
82,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199. ","NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)",Tom uses the zip code 98199.,"UseZipCode(tom, num98199)",True,249
82,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199. ","NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)",Tom doesn't use the zip code 98199.,"¬UseZipCode(tom, num98199)",False,250
82,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199. ","NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)",Tom is a citizen of Washington.,"ResidentOf(tom, washington)",Uncertain,251
82,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199. ","NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)",Daniel is a citizen of Lawton Park.,"ResidentOf(daniel, lawtonPark)",Uncertain,252
86,"If a legislator is found guilty of stealing government funds, they will be suspended from office.
Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.
Tiffany T. Alston was found guilty of stealing government funds in 2012.","∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x))
Legislator(tiffanyTAlston)
StealsFunds(tiffanyTAlston) ∧ StealsFundsInYr(tiffanyTAlston, yr2012)",Tiffany T. Alston was suspended from the Maryland House of Delegates.,Suspended(tiffanyTAlston),True,261
86,"If a legislator is found guilty of stealing government funds, they will be suspended from office.
Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.
Tiffany T. Alston was found guilty of stealing government funds in 2012.","∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x))
Legislator(tiffanyTAlston)
StealsFunds(tiffanyTAlston) ∧ StealsFundsInYr(tiffanyTAlston, yr2012)",Tiffany T. Alston was not suspended from the Maryland House of Delegates.,¬Suspended(tiffanyTAlston),False,262
86,"If a legislator is found guilty of stealing government funds, they will be suspended from office.
Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.
Tiffany T. Alston was found guilty of stealing government funds in 2012.","∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x))
Legislator(tiffanyTAlston)
StealsFunds(tiffanyTAlston) ∧ StealsFundsInYr(tiffanyTAlston, yr2012)",Tiffany T. Alston went to prison for stealing government funds.,Prison(tiffanyTAlston),Uncertain,263
171,"Some fish stings people.
Stonefish is a fish.
Stonefish stings when stepped on. 
If a stonefish stings someone and they are not treated, it can cause death to them.
To treat stonefish stings, apply heat to the affected area or use an antivenom.","∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))","If a stonefish stings you and you don’t use an antivenom, it can cause death to you.","∀x (Sting(stonefish, x) ∧ ¬UseAntivenomOn(x) → CauseDeathTo(stonefish, x))",Uncertain,491
171,"Some fish stings people.
Stonefish is a fish.
Stonefish stings when stepped on. 
If a stonefish stings someone and they are not treated, it can cause death to them.
To treat stonefish stings, apply heat to the affected area or use an antivenom.","∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))",Stings of some fish can cause death if not treated.,"∃x ∃y (Fish(x) ∧ Sting(x, y) ∧ ¬Treated(y) → CauseDeathTo(x, y))",True,492
